#   t     T_i   Q_con  Q_rad  Q_tidal    u    Ur   Deta_L ratio 
# ==== ======= ====== ====== ========= ==== ===== ==============
  0.00 1350.00  36.00   8.28   0.21    4.00 0.230  0.282
  0.01 1351.25  36.18   8.29   0.21    4.03 0.229  0.273
  0.02 1352.51  36.36   8.31   0.21    4.07 0.228  0.264
  0.03 1353.78  36.54   8.32   0.21    4.10 0.228  0.255
  0.04 1355.06  36.72   8.34   0.22    4.13 0.227  0.246
  0.05 1356.34  36.89   8.36   0.22    4.16 0.227  0.238
  0.06 1357.63  37.06   8.37   0.22    4.19 0.226  0.229
  0.07 1358.93  37.23   8.39   0.22    4.22 0.225  0.220
  0.08 1360.23  37.38   8.41   0.23    4.25 0.225  0.211
  0.09 1361.54  37.54   8.42   0.23    4.28 0.224  0.202
  0.10 1362.86  37.69   8.44   0.23    4.30 0.224  0.193
  0.11 1364.18  37.83   8.46   0.24    4.33 0.224  0.183
  0.12 1365.50  37.97   8.47   0.24    4.35 0.223  0.174
  0.13 1366.84  38.10   8.49   0.24    4.37 0.223  0.165
  0.14 1368.17  38.22   8.51   0.24    4.39 0.223  0.156
  0.15 1369.52  38.34   8.53   0.25    4.41 0.222  0.147
  0.16 1370.86  38.45   8.54   0.25    4.43 0.222  0.138
  0.17 1372.21  38.56   8.56   0.25    4.44 0.222  0.129
  0.18 1373.57  38.68   8.58   0.25    4.46 0.222  0.119
  0.19 1374.93  38.79   8.60   0.26    4.48 0.222  0.110
  0.20 1376.29  38.91   8.61   0.26    4.50 0.221  0.101
  0.21 1377.66  39.02   8.63   0.26    4.51 0.221  0.092
  0.22 1379.03  39.13   8.65   0.27    4.53 0.221  0.083
  0.23 1380.41  39.24   8.67   0.27    4.54 0.221  0.073
  0.24 1381.79  39.34   8.68   0.27    4.56 0.221  0.064
  0.25 1383.17  39.44   8.70   0.27    4.57 0.221  0.055
  0.26 1384.56  39.53   8.72   0.28    4.59 0.221  0.046
  0.27 1385.95  39.62   8.74   0.28    4.60 0.221  0.036
  0.28 1387.34  39.69   8.76   0.28    4.60 0.221  0.027
  0.29 1388.74  39.76   8.77   0.29    4.61 0.221  0.018
  0.30 1390.14  39.83   8.79   0.29    4.62 0.221  0.009
  0.31 1391.54  39.89   8.81   0.29    4.62 0.221 -0.001
  0.32 1392.94  39.94   8.83   0.30    4.62 0.221 -0.010
  0.33 1394.34  39.98   8.85   0.30    4.63 0.221 -0.019
  0.34 1395.74  40.02   8.87   0.30    4.63 0.222 -0.028
  0.35 1397.15  40.05   8.89   0.30    4.62 0.222 -0.037
  0.36 1398.56  40.08   8.91   0.31    4.62 0.222 -0.046
  0.37 1399.96  40.10   8.92   0.31    4.61 0.223 -0.056
  0.38 1401.37  40.11   8.94   0.31    4.61 0.223 -0.065
  0.39 1402.77  40.14   8.96   0.32    4.61 0.223 -0.074
  0.40 1404.18  40.17   8.98   0.32    4.60 0.224 -0.083
  0.41 1405.58  40.20   9.00   0.32    4.60 0.224 -0.092
  0.42 1406.99  40.22   9.02   0.33    4.60 0.224 -0.101
  0.43 1408.40  40.25   9.04   0.33    4.59 0.225 -0.110
  0.44 1409.80  40.26   9.06   0.33    4.59 0.225 -0.119
  0.45 1411.21  40.28   9.08   0.34    4.58 0.225 -0.128
  0.46 1412.62  40.30   9.10   0.34    4.58 0.226 -0.137
  0.47 1414.02  40.31   9.12   0.34    4.57 0.226 -0.146
  0.48 1415.43  40.32   9.14   0.35    4.56 0.227 -0.155
  0.49 1416.83  40.33   9.16   0.35    4.56 0.227 -0.164
  0.50 1418.24  40.33   9.18   0.35    4.55 0.228 -0.173
  0.51 1419.64  40.33   9.20   0.35    4.54 0.228 -0.182
  0.52 1421.05  40.32   9.22   0.36    4.53 0.229 -0.191
  0.53 1422.45  40.31   9.24   0.36    4.52 0.229 -0.199
  0.54 1423.85  40.29   9.26   0.36    4.50 0.230 -0.208
  0.55 1425.25  40.28   9.28   0.37    4.49 0.230 -0.217
  0.56 1426.64  40.26   9.30   0.37    4.48 0.231 -0.226
  0.57 1428.04  40.23   9.32   0.37    4.46 0.232 -0.234
  0.58 1429.43  40.20   9.34   0.38    4.45 0.232 -0.243
  0.59 1430.82  40.17   9.36   0.38    4.43 0.233 -0.252
  0.60 1432.21  40.14   9.38   0.38    4.42 0.234 -0.260
  0.61 1433.59  40.10   9.41   0.39    4.40 0.235 -0.269
  0.62 1434.97  40.08   9.43   0.39    4.39 0.235 -0.277
  0.63 1436.36  40.05   9.45   0.39    4.37 0.236 -0.286
  0.64 1437.73  40.03   9.47   0.40    4.36 0.237 -0.294
  0.65 1439.11  40.00   9.49   0.40    4.35 0.237 -0.303
  0.66 1440.49  39.98   9.51   0.40    4.33 0.238 -0.311
  0.67 1441.86  39.95   9.53   0.41    4.32 0.239 -0.320
  0.68 1443.23  39.93   9.56   0.41    4.31 0.239 -0.328
  0.69 1444.60  39.90   9.58   0.41    4.29 0.240 -0.336
  0.70 1445.96  39.88   9.60   0.42    4.28 0.241 -0.345
  0.71 1447.33  39.85   9.62   0.42    4.26 0.241 -0.353
  0.72 1448.69  39.82   9.64   0.42    4.25 0.242 -0.361
  0.73 1450.05  39.80   9.67   0.42    4.24 0.243 -0.370
  0.74 1451.41  39.77   9.69   0.43    4.22 0.244 -0.378
  0.75 1452.76  39.74   9.71   0.43    4.21 0.244 -0.386
  0.76 1454.11  39.71   9.73   0.43    4.20 0.245 -0.394
  0.77 1455.46  39.69   9.76   0.44    4.18 0.246 -0.402
  0.78 1456.81  39.66   9.78   0.44    4.17 0.247 -0.410
  0.79 1458.16  39.63   9.80   0.44    4.16 0.247 -0.418
  0.80 1459.50  39.60   9.83   0.45    4.14 0.248 -0.426
  0.81 1460.84  39.57   9.85   0.45    4.13 0.249 -0.434
  0.82 1462.18  39.55   9.87   0.45    4.11 0.250 -0.442
  0.83 1463.52  39.52   9.90   0.46    4.10 0.250 -0.450
  0.84 1464.85  39.49   9.92   0.46    4.09 0.251 -0.458
  0.85 1466.18  39.46   9.94   0.46    4.07 0.252 -0.466
  0.86 1467.51  39.43   9.97   0.47    4.06 0.253 -0.474
  0.87 1468.84  39.40   9.99   0.47    4.05 0.254 -0.481
  0.88 1470.17  39.37  10.01   0.47    4.03 0.254 -0.489
  0.89 1471.49  39.34  10.04   0.48    4.02 0.255 -0.497
  0.90 1472.81  39.31  10.06   0.48    4.01 0.256 -0.505
  0.91 1474.12  39.28  10.09   0.48    3.99 0.257 -0.512
  0.92 1475.44  39.25  10.11   0.49    3.98 0.258 -0.520
  0.93 1476.75  39.22  10.14   0.49    3.97 0.258 -0.528
  0.94 1478.06  39.19  10.16   0.49    3.95 0.259 -0.535
  0.95 1479.37  39.15  10.19   0.50    3.94 0.260 -0.543
